Date,Open,High,Low,Close,Change(Pips),Change(%)
2021-07-04,1787.22,1787.73,1785.0,1786.39,-83.0,-0.05
2021-07-05,1786.68,1794.0,1783.8,1791.15,447.0,0.25
2021-07-06,1790.85,1814.89,1789.89,1795.68,483.0,0.27
2021-07-07,1795.28,1809.5,1793.41,1803.22,794.0,0.44
2021-07-08,1803.29,1818.0,1793.9,1803.75,46.0,0.03
2021-07-09,1803.87,1812.38,1796.53,1807.89,402.0,0.22
2021-07-10,1805.965,1810.38,1801.0149999999999,1807.065,110.0,0.06
2021-07-11,1808.06,1808.38,1805.5,1806.24,-182.0,-0.1
2021-07-12,1806.32,1809.43,1791.84,1806.95,63.0,0.03
2021-07-13,1807.59,1816.67,1799.19,1805.82,-177.0,-0.1
2021-07-14,1805.91,1829.71,1804.22,1826.23,2032.0,1.11
2021-07-15,1826.1,1833.66,1820.24,1829.43,333.0,0.18
2021-07-16,1829.34,1831.23,1809.31,1811.64,-1770.0,-0.98
2021-07-17,1820.5749999999998,1823.52,1809.8049999999998,1813.6550000000002,-692.0,-0.385
2021-07-18,1811.81,1815.81,1810.3,1815.67,386.0,0.21
2021-07-19,1815.01,1817.24,1794.9,1811.17,-384.0,-0.21
2021-07-20,1811.59,1824.67,1804.84,1809.56,-203.0,-0.11
2021-07-21,1809.57,1813.69,1794.58,1802.44,-713.0,-0.4
2021-07-22,1802.49,1808.45,1792.51,1807.22,473.0,0.26
2021-07-23,1807.07,1810.12,1791.22,1801.3,-577.0,-0.32
2021-07-24,1804.2350000000001,1806.32,1795.4099999999999,1800.69,-354.5,-0.195
2021-07-25,1801.4,1802.52,1799.6,1800.08,-132.0,-0.07
2021-07-26,1799.97,1811.27,1795.8,1797.46,-251.0,-0.14
2021-07-27,1797.4,1805.06,1793.29,1800.0,260.0,0.14
2021-07-28,1799.69,1810.22,1794.37,1809.24,955.0,0.53
2021-07-29,1809.38,1832.55,1808.47,1830.07,2069.0,1.13
2021-07-30,1829.79,1831.12,1808.9,1812.55,-1724.0,-0.95
2021-07-31,1821.865,1823.1,1810.4050000000002,1813.1100000000001,-875.5,-0.48
2021-08-01,1813.94,1815.08,1811.91,1813.67,-27.0,-0.01
2021-08-02,1813.5,1819.47,1805.6,1812.41,-109.0,-0.06
2021-08-03,1812.52,1814.45,1807.25,1810.94,-158.0,-0.09
2021-08-04,1810.89,1831.48,1806.41,1811.69,80.0,0.04
2021-08-05,1811.45,1814.79,1798.03,1803.28,-817.0,-0.45
2021-08-06,1803.25,1803.69,1758.3,1763.29,-3996.0,-2.27
2021-08-07,1783.415,1783.93,1711.25,1740.53,-4288.5,-2.4699999999999998
2021-08-08,1763.58,1764.17,1664.2,1717.77,-4581.0,-2.67
2021-08-09,1717.82,1752.1,1706.47,1731.29,1347.0,0.78
